Actions,Name,Status,Cost,Publisher Revenue,Profit,ROI,CPA,EPA
"=""""","=""S1 - PA - Curso IA Gratis - cursos-de-ia-gratis.xyz""","=""PAUSED""","=""5.02""","=""1.71""","=""-3.3099999999999996""","=""-65.93625498007968""","=""0.11674418604651161""","=""0.039767441860465116"""
"=""""","=""S1 - ARAB SAU - Joyas Oro Remate - clearance-jewelry.xyz""","=""PAUSED""","=""4.91""","=""0.02""","=""-4.890000000000001""","=""-99.59266802443992""","=""4.91""","=""0.02"""
"=""""","=""S1 - EC - Curso IA Gratis - cursos-de-ia-gratis.xyz""","=""PAUSED""","=""4.85""","=""1.2""","=""-3.6499999999999995""","=""-75.25773195876289""","=""0.1276315789473684""","=""0.031578947368421054"""
"=""""","=""S1 - BOTSW - Cursos tecnicos online - online-technical-courses-intl.xyz (Dinamico)""","=""RUNNING""","=""3.65""","=""5.28""","=""1.6300000000000003""","=""44.65753424657535""","=""0.06186440677966101""","=""0.08949152542372882"""
"=""""","=""S1 - TRI & TOB - Cursos tecnicos online - online-technical-courses-intl.xyz (Dinamico)""","=""RUNNING""","=""3.58""","=""1.57""","=""-2.01""","=""-56.145251396648035""","=""0.1988888888888889""","=""0.08722222222222223"""
"=""""","=""S1 - PA - Microcredito Personal - microcredito-personal.xyz""","=""RUNNING""","=""3.48""","=""2.96""","=""-0.52""","=""-14.942528735632186""","=""0.07102040816326531""","=""0.060408163265306125"""
"=""""","=""S1 - NIGE - Cursos tecnicos online - online-technical-courses-intl.xyz (Dinamico)""","=""RUNNING""","=""3.4400000000000004""","=""2.43""","=""-1.0100000000000002""","=""-29.360465116279073""","=""0.19111111111111112""","=""0.135"""
"=""""","=""S1 - GHA - Cursos tecnicos online - online-technical-courses-intl.xyz (Dinamico)""","=""RUNNING""","=""3.44""","=""0.64""","=""-2.8""","=""-81.3953488372093""","=""0.5733333333333334""","=""0.10666666666666667"""
"=""""","=""S1 - PAY - Prestamos Rapidos - prestamos-online-rapidos-intl.xyz (2)""","=""RUNNING""","=""3.2799999999999994""","=""3.82""","=""0.5400000000000005""","=""16.46341463414636""","=""0.019999999999999997""","=""0.023292682926829268"""
"=""""","=""S1 - UGAN - Cursos tecnicos online - online-technical-courses-intl.xyz (Dinamico)""","=""RUNNING""","=""3.25""","=""0.75""","=""-2.5""","=""-76.92307692307693""","=""0.5416666666666666""","=""0.125"""
"=""""","=""S1 - MEX - Curso IA Gratis - cursos-de-ia-gratis.xyz (dinamico)""","=""PAUSED""","=""2.7399999999999998""","=""0.9500000000000001""","=""-1.7899999999999996""","=""-65.32846715328466""","=""0.21076923076923076""","=""0.07307692307692308"""
"=""""","=""S1 - SAL - Prestamos Rapidos - prestamos-online-rapidos-intl.xyz (2)""","=""RUNNING""","=""2.1900000000000004""","=""3.3400000000000007""","=""1.1500000000000004""","=""52.51141552511416""","=""0.019210526315789477""","=""0.029298245614035094"""
"=""""","=""S1 - UY - Curso IA Gratis - cursos-de-ia-gratis.xyz (dinamico)""","=""PAUSED""","=""1.84""","=""0.22""","=""-1.62""","=""-88.04347826086956""","=""0.46""","=""0.055"""
"=""""","=""S1 - COL - Curso IA Gratis - cursos-de-ia-gratis.xyz""","=""PAUSED""","=""0.24000000000000002""","=""0.2""","=""-0.04000000000000001""","=""-16.666666666666668""","=""0.048""","=""0.04"""
"=""""","=""S1 - MEX - Curso IA Gratis - cursos-de-ia-gratis.xyz""","=""PAUSED""","=""0.02""","=""0""","=""-0.02""","=""-100""","=""0""","=""0"""
"=""""","=""S1 - ARG - Tarjetas de Credito -  tarjetas-de-credito-para-jovenes.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - EC - Subsidio vivienda - subsidios-del-gobierno-para-comprar-casa.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - COL - Becas China - becas-para-estudiar-en-china.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - PAY - Credito Negocios - prestamos-para-negocios-intl.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - COL- Curso Influencer - influencer-marketing-course.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - EC - Tarjeta Empresarial - tarjeta-de-credito-empresarial.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - CL - Apartamentos Pareja - apartamentos-en-venta.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - GRE - Bonos Gobierno - government-bonds.xyz (Griego)""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - CL - Partidos online - ver-futbol-online.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - UY - Bonos Gobierno - bonos-del-gobierno.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - PE - Becas Irlanda - becas-para-estudiar-en-irlanda.xyz (articulo)""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - MEX - Tarjeta Empresarial - tarjeta-de-credito-empresarial.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - HON KO - Becas programacion - scholarships-to-study-programming.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - ARG - Subsidio vivienda - subsidios-del-gobierno-para-comprar-casa.xyz (articulo)""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - RD - Tarjetas de Credito -  tarjetas-de-credito-para-jovenes.xyz (2)""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - EC - Tarjetas de Credito -  tarjetas-de-credito-para-jovenes.xyz (2)""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - PR - Prestamos universitarios - prestamos-universitarios.xyz (2)""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - Egipto - Refinanciamiento deuda - debt-refinancing-intl.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - EC - Prestamos universitarios - prestamos-universitarios.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - JAM - Sports Scolarships - sport-scholarships-intl.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - PA - Subsidio vivienda - subsidios-del-gobierno-para-comprar-casa.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - BO - Becas Irlanda - becas-para-estudiar-en-irlanda.xyz (Con articulo)""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - UY - Tarjetas de Credito -  tarjetas-de-credito-para-jovenes.xyz (2)""","=""RUNNING""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - USA - Refinanciamiento deuda - refinanciacion-de-deuda.xyz - (español)""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - RP - Visas USA - us-visas.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - RD - Ingles gratuito - aprender-ingles-gratis.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - PAY - Apartamentos Pareja - apartamentos-en-venta.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - MEX - Becas Irlanda - becas-para-estudiar-en-irlanda.xyz (articulo)""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - CR - Microcredito Personal - microcredito-personal.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - CR/PA/CO - Boletos lowcost - aerolineas-de-bajo-costo.site""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - CL - Tarjetas de Credito -  tarjetas-de-credito-para-jovenes.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - PE - Ingles gratuito - aprender-ingles-gratis.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - EC - Becas Irlanda - becas-para-estudiar-en-irlanda.xyz (Con articulo)""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - COL - Bonos Gobierno - bonos-del-gobierno.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - USA - Préstamos rápidos - online-loans-inf.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - VIET - Credito Negocios - business-loans-intl.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - PA - Préstamos rápidos - prestamos-online-rapidos-intl.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - EC - Bonos Gobierno - bonos-del-gobierno.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - GUI ECU - Refinanciamiento deuda - refinanciacion-de-deuda.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - CL - Primera Casa - bienes-raices-intl.site""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - CL - Microcredito Personal - microcredito-personal.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - CL - Becas China - becas-para-estudiar-en-china.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - CA - Credito Negocios - business-loans-intl.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - CR - Tarjeta Empresarial - tarjeta-de-credito-empresarial.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - BO - Salud privada - seguro-de-salud-privado.site""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - EC - Joyas Oro Remate - liquidacion-de-joyas-latam.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - CL - Tarjeta Empresarial - tarjeta-de-credito-empresarial.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - PA - Prestamos universitarios - prestamos-universitarios.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - SUD - First Home - real-estate-intl.site""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - EC - Devolucion Impuestos - devolucion-de-impuestos.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - BULG - Credito Negocios - business-loans-intl.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - BO - Tarjetas de Credito -  tarjetas-de-credito-para-jovenes.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - ARG - Préstamos rápidos - prestamos-online-rapidos-intl.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - PA - Préstamos estatales - prestamos-estatales.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - SAL - Subsidio vivienda - subsidios-del-gobierno-para-comprar-casa.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - COL - Tarjetas de Credito -  tarjetas-de-credito-para-jovenes.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - COL - Joyas Oro Remate - liquidacion-de-joyas-latam.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - NIGE - Prestamos educativos - educational-loans-intl.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - PE - Becas Programación -  becas-para-estudiar-programacion.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - AUS - Sports Scolarships - sport-scholarships-intl.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - EC - Bonos Gobierno - bonos-del-gobierno.xyz - (2)""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - COL - Becas Irlanda - becas-para-estudiar-en-irlanda.xyz (articulo)""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - IND- Becas programacion - scholarships-to-study-programming.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - EC - Préstamos rápidos - prestamos-online-rapidos-intl.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - CR - Credito Negocios - prestamos-para-negocios-intl.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - SPA - Salud privada - seguro-de-salud-privado.site""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - USA - Boletos lowcost - low-cost-airlines.site""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - GE - Préstamos rápidos - prestamos-online-rapidos-intl.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - NIG - Refinanciamiento deuda - debt-refinancing-intl.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - ALB - Refinanciamiento deuda - debt-refinancing-intl.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - USA - Becas a China - scholarships-to-study-in-china-intl.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - EAU - Préstamos rápidos - online-loans-inf.xyz (Ingles)""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - PE - Préstamos rápidos - prestamos-online-rapidos-intl.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - USA - Sports Scolarships - sport-scholarships-intl.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - IND - Refinanciamiento deuda - debt-refinancing-intl.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - IRL - Becas a China - scholarships-to-study-in-china-intl.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - CL - Salud privada - seguro-de-salud-privado.site""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - UY - Credito Negocios - prestamos-para-negocios-intl.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - PE - Apartamentos Pareja - apartamentos-en-venta.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - RD - Tarjeta Empresarial - tarjeta-de-credito-empresarial.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - BOTSW - Visas a USA - us-visas.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - SERB - Credito Negocios - business-loans-intl.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - MEX - Partidos online - ver-futbol-online.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - PE - Tarjetas de Credito -  tarjetas-de-credito-para-jovenes.xyz (2)""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - NIC - Subsidio vivienda - subsidios-del-gobierno-para-comprar-casa.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - CA - Becas a China - scholarships-to-study-in-china-intl.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - PE - Visas USA - us-visas.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - SPA/TAI/MAL - Private Health - private-health-insurance.site""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - COL - Subsidio vivienda - subsidios-del-gobierno-para-comprar-casa.xyz (articulo)""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - USA - First Home - real-estate-intl.site""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - HOND - Visas USA - us-visas.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - COL - Tarjetas de Credito -  tarjetas-de-credito-para-jovenes.xyz (2)""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - TAI - Curso Influencer - influencer-marketing-course.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - CL - Tarjetas de Credito -  tarjetas-de-credito-para-jovenes.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - BO - Devolucion Impuestos - devolucion-de-impuestos.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - ESP - Préstamos rápidos - prestamos-online-rapidos-intl.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - SUR COREA - Préstamos rápidos - online-loans-inf.xyz""","=""RUNNING""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - PA - Apartamentos Pareja - apartamentos-en-venta.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - SUDAF - Becas Irlanda - scholarships-to-study-in-ireland.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - HON - Becas Programación -  becas-para-estudiar-programacion.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - BO - Tarjetas de Credito -  tarjetas-de-credito-para-jovenes.xyz (2)""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - ARG - Partidos online - ver-futbol-online.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - SAL - Credito Negocios - prestamos-para-negocios-intl.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - CR - Préstamos rápidos - prestamos-online-rapidos-intl.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - JORD - Refinanciamiento deuda - debt-refinancing-intl.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - CL - Bonos Gobierno - bonos-del-gobierno.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - COL - Partidos online - ver-futbol-online.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - CO - Primera Casa - bienes-raices-intl.site""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - PA - Becas Irlanda - becas-para-estudiar-en-irlanda.xyz (articulo)""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - IND - Credito Negocios - business-loans-intl.xyz""","=""RUNNING""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - BRA - Refinanciamiento deuda - refinanciacion-de-deuda.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - CR - Joyas Oro Remate - liquidacion-de-joyas-latam.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - PAY - Tarjetas de Credito -  tarjetas-de-credito-para-jovenes.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - MEX- Curso Influencer - influencer-marketing-course.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - CL - Prestamos universitarios - prestamos-universitarios.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""Nueva campaña de Ventas""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - GAMB - Becas Irlanda - scholarships-to-study-in-ireland.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - MAY - Visa a USA - us-visas.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - CR - Tarjetas de Credito -  tarjetas-de-credito-para-jovenes.xyz (2)""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - PR - Prestamos universitarios - prestamos-universitarios.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - PA - Devolucion Impuestos - devolucion-de-impuestos.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - PA - Partidos online - ver-futbol-online.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - CL - Subsidio vivienda - subsidios-del-gobierno-para-comprar-casa.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - MEX - Ingles gratuito - aprender-ingles-gratis.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - CR - Prestamos universitarios - prestamos-universitarios.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - CL - Ingles gratuito - aprender-ingles-gratis.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - FIL - Credito Negocios - business-loans-intl.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - EAU - Rhinoplasty - rhinoplasty-intl.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - ARA SAU - Refinanciamiento deuda - debt-refinancing-intl.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - COL - Tarjeta Empresarial - tarjeta-de-credito-empresarial.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - EC - Refinanciamiento deuda - refinanciacion-de-deuda.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - SUDF - Refinanciamiento deuda - debt-refinancing-intl.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - CAME - Becas Irlanda - scholarships-to-study-in-ireland.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - NZ/SUD/IRL - Private Health - private-health-insurance.site""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - LI - Rhinoplasty - rhinoplasty-intl.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - PA - Prestamos Rapidos - prestamos-online-rapidos-intl.xyz (3)""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - CL - Becas Irlanda - becas-para-estudiar-en-irlanda.xyz (Con articulo)""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - ESP - Refinanciamiento deuda - refinanciacion-de-deuda.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - BO - Tarjeta Empresarial - tarjeta-de-credito-empresarial.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - PR - Tarjetas de Credito -  tarjetas-de-credito-para-jovenes.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - MAYL - Credito Negocios - business-loans-intl.xyz""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - PR - Salud privada - seguro-de-salud-privado.site""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
"=""""","=""S1 - GT/SV/PR/RD - Primera Casa - bienes-raices-intl.site""","=""PAUSED""","=""0""","=""0""","=""0""","=""0""","=""0""","=""0"""
